casino,month,year,monthly_retail_sports_win,monthly_internet_sports_win,total_sports_win
HARRAH'S ATLANTIC CITY,December,2023,,60789,60789
HARRAH'S ATLANTIC CITY,January,2024,46623,,46623
HARRAH'S ATLANTIC CITY,January,2024,,371755,371755
HARRAH'S ATLANTIC CITY,February,2024,6403,,6403
HARRAH'S ATLANTIC CITY,February,2024,,406684,406684
HARRAH'S ATLANTIC CITY,March,2024,57523,,57523
HARRAH'S ATLANTIC CITY,March,2024,,1033,1033
HARRAH'S ATLANTIC CITY,April,2024,78173,,78173
HARRAH'S ATLANTIC CITY,April,2024,,244869,244869
HARRAH'S ATLANTIC CITY,May,2024,3,,3
HARRAH'S ATLANTIC CITY,May,2024,,107990,107990
HARRAH'S ATLANTIC CITY,June,2024,6613,,6613
HARRAH'S ATLANTIC CITY,July,2024,57715,,57715
HARRAH'S ATLANTIC CITY,July,2024,,47724,47724
HARRAH'S ATLANTIC CITY,August,2024,111628,,111628
HARRAH'S ATLANTIC CITY,August,2024,,209227,209227
HARRAH'S ATLANTIC CITY,September,2024,27133,,27133
HARRAH'S ATLANTIC CITY,October,2024,9827,,9827
HARRAH'S ATLANTIC CITY,November,2024,47119,,47119
HARRAH'S ATLANTIC CITY,December,2024,136433,,136433
HARRAH'S ATLANTIC CITY,January,2025,54528,,54528
HARRAH'S ATLANTIC CITY,February,2025,5629,,5629
HARRAH'S ATLANTIC CITY,March,2025,35546,,35546
HARRAH'S ATLANTIC CITY,April,2025,178034,,178034
HARRAH'S ATLANTIC CITY,May,2025,7582,,7582
HARRAH'S ATLANTIC CITY,June,2025,221514,,221514
HARRAH'S ATLANTIC CITY,July,2025,30534,,30534
HARRAH'S ATLANTIC CITY,August,2025,269397,,269397
HARRAH'S ATLANTIC CITY,September,2025,28972,,28972
HARRAH'S ATLANTIC CITY,October,2025,156515,,156515
HARRAH'S ATLANTIC CITY,November,2025,154675,,154675
HARRAH'S ATLANTIC CITY,December,2025,57007,,57007
OCEAN CASINO RESORT,January,2022,141925,229206,371131
OCEAN CASINO RESORT,February,2022,,293903,293903
OCEAN CASINO RESORT,March,2022,,224942,224942
OCEAN CASINO RESORT,April,2022,,65061,65061
OCEAN CASINO RESORT,May,2022,17026,114270,131296
OCEAN CASINO RESORT,June,2022,7875,149023,156898
OCEAN CASINO RESORT,July,2022,49296,148990,198286
OCEAN CASINO RESORT,August,2022,152205,306333,458538
OCEAN CASINO RESORT,September,2022,224043,312312,536355
OCEAN CASINO RESORT,October,2022,71685,10880,82565
OCEAN CASINO RESORT,November,2022,55032,7847,62879
OCEAN CASINO RESORT,December,2022,71553,88029,159582
OCEAN CASINO RESORT,January,2023,20185,9179,29364
OCEAN CASINO RESORT,February,2023,138200,94636,232836
OCEAN CASINO RESORT,March,2023,214,64672,64886
OCEAN CASINO RESORT,April,2023,29957,37285,67242
OCEAN CASINO RESORT,May,2023,2830,7496,10326
OCEAN CASINO RESORT,June,2023,7081,5535,12616
OCEAN CASINO RESORT,July,2023,79310,37490,116800
OCEAN CASINO RESORT,August,2023,34972,35843,70815
OCEAN CASINO RESORT,September,2023,16839,87051,103890
OCEAN CASINO RESORT,October,2023,283764,1883,285647
OCEAN CASINO RESORT,November,2023,5743,88117,93860
OCEAN CASINO RESORT,December,2023,14424,49655,64079
OCEAN CASINO RESORT,January,2024,8184,381600,389784
OCEAN CASINO RESORT,February,2024,1225,44496,45721
OCEAN CASINO RESORT,March,2024,5454,90354,95808
OCEAN CASINO RESORT,April,2024,82773,259026,341799
OCEAN CASINO RESORT,May,2024,8258,247250,255508
OCEAN CASINO RESORT,June,2024,1202,29927,31129
OCEAN CASINO RESORT,July,2024,25537,99284,124821
OCEAN CASINO RESORT,August,2024,144340,227408,371748
OCEAN CASINO RESORT,September,2024,35040,7321,42361
OCEAN CASINO RESORT,October,2024,6528,14513,21041
OCEAN CASINO RESORT,November,2024,35890,173343,209233
OCEAN CASINO RESORT,December,2024,5229,227978,233207
OCEAN CASINO RESORT,January,2025,4992,239939,244931
OCEAN CASINO RESORT,February,2025,49224,114764,163988
OCEAN CASINO RESORT,March,2025,229765,360322,590087
OCEAN CASINO RESORT,April,2025,54753,9617,64370
OCEAN CASINO RESORT,May,2025,80161,79335,159496
OCEAN CASINO RESORT,June,2025,28966,127092,156058
OCEAN CASINO RESORT,July,2025,36710,78429,115139
